"temperature","temperature loads","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,0,0,0.075,0.075,0,0
nan,nan,0,0,0.076,0.076,0,0
nan,nan,0,0,0.077,0.077,0,0
nan,nan,0,0,0.078,0.078,0,0
nan,nan,0,0,0.079,0.079,0,0
nan,nan,0,0,0.08,0.08,0,0
nan,nan,0,0,0.081,0.081,0,0
nan,nan,0,0,0.082,0.082,0,0
nan,nan,0,0,0.083,0.083,0,0
nan,nan,0,0,0.084,0.084,0,0
nan,nan,0,0,0.085,0.085,0,0
nan,nan,0,0,0.086,0.086,0,0
nan,nan,0,0,0.087,0.087,0,0
nan,nan,0,0,0.088,0.088,0,0
nan,nan,0,0,0.089,0.089,0,0
nan,nan,0,0,0.09,0.09,0,0
nan,nan,0,0,0.091,0.091,0,0
nan,nan,0,0,0.092,0.092,0,0
nan,nan,0,0,0.093,0.093,0,0
nan,nan,0,0,0.094,0.094,0,0
nan,nan,0,0,0.095,0.095,0,0
nan,nan,0,0,0.096,0.096,0,0
nan,nan,0,0,0.097,0.097,0,0
nan,nan,0,0,0.098,0.098,0,0
nan,nan,0,0,0.099,0.099,0,0
nan,nan,0,0,0.1,0.1,0,0
nan,nan,0,0,0.101,0.101,0,0
nan,nan,0,0,0.102,0.102,0,0
nan,nan,0,0,0.103,0.103,0,0
nan,nan,0,0,0.104,0.104,0,0
nan,nan,0,0,0.105,0.105,0,0
nan,nan,0,0,0.106,0.106,0,0
nan,nan,0,0,0.107,0.107,0,0
nan,nan,0,0,0.108,0.108,0,0
nan,nan,0,0,0.109,0.109,0,0
nan,nan,0,0,0.11,0.11,0,0
nan,nan,0,0,0.111,0.111,0,0
nan,nan,0,0,0.112,0.112,0,0
nan,nan,0,0,0.113,0.113,0,0
nan,nan,0,0,0.114,0.114,0,0
nan,nan,0,0,0.115,0.115,0,0
nan,nan,0,0,0.116,0.116,0,0
nan,nan,0,0,0.117,0.117,0,0
nan,nan,0,0,0.118,0.118,0,0
nan,nan,0,0,0.119,0.119,0,0
nan,nan,0,0,0.12,0.12,0,0
nan,nan,0,0,0.121,0.121,0,0
nan,nan,0,0,0.122,0.122,0,0
nan,nan,0,0,0.123,0.123,0,0
nan,nan,0,0,0.124,0.124,0,0
nan,nan,0,0,0.125,0.125,0,0
nan,nan,0,0,0.126,0.126,0,0
nan,nan,0,0,0.127,0.127,0,0
nan,nan,0,0,0.128,0.128,0,0
nan,nan,0,0,0.129,0.129,0,0
nan,nan,0,0,0.13,0.13,0,0
nan,nan,0,0,0.131,0.131,0,0
nan,nan,0,0,0.132,0.132,0,0
nan,nan,0,0,0.133,0.133,0,0
nan,nan,0,0,0.134,0.134,0,0
nan,nan,0,0,0.135,0.135,0,0
nan,nan,0,0,0.136,0.136,0,0
nan,nan,0,0,0.137,0.137,0,0
nan,nan,0,0,0.138,0.138,0,0
nan,nan,0,0,0.139,0.139,0,0
nan,nan,0,0,0.14,0.14,0,0
nan,nan,0,0,0.141,0.141,0,0
nan,nan,0,0,0.142,0.142,0,0
nan,nan,0,0,0.143,0.143,0,0
nan,nan,0,0,0.144,0.144,0,0
nan,nan,0,0,0.145,0.145,0,0
nan,nan,0,0,0.146,0.146,0,0
nan,nan,0,0,0.147,0.147,0,0
nan,nan,0,0,0.148,0.148,0,0
nan,nan,0,0,0.149,0.149,0,0
nan,nan,0,0,0.15,0.15,0,0
nan,nan,0,0,0.151,0.151,0,0
nan,nan,0,0,0.152,0.152,0,0
nan,nan,0,0,0.153,0.153,0,0
nan,nan,0,0,0.154,0.154,0,0
nan,nan,0,0,0.155,0.155,0,0
nan,nan,0,0,0.156,0.156,0,0
nan,nan,0,0,0.157,0.157,0,0
nan,nan,0,0,0.158,0.158,0,0
nan,nan,0,0,0.159,0.159,0,0
nan,nan,0,0,0.16,0.16,0,0
nan,nan,0,0,0.161,0.161,0,0
nan,nan,0,0,0.162,0.162,0,0
nan,nan,0,0,0.163,0.163,0,0
nan,nan,0,0,0.164,0.164,0,0
nan,nan,0,0,0.165,0.165,0,0
nan,nan,0,0,0.166,0.166,0,0
nan,nan,0,0,0.167,0.167,0,0
nan,nan,0,0,0.168,0.168,0,0
nan,nan,0,0,0.169,0.169,0,0
nan,nan,0,0,0.17,0.17,0,0
nan,nan,0,0,0.171,0.171,0,0
nan,nan,0,0,0.172,0.172,0,0
nan,nan,0,0,0.173,0.173,0,0
nan,nan,0,0,0.174,0.174,0,0
nan,nan,0,0,0.175,0.175,0,0
nan,nan,0,0,0.176,0.176,0,0
nan,nan,0,0,0.177,0.177,0,0
nan,nan,0,0,0.178,0.178,0,0
nan,nan,0,0,0.179,0.179,0,0
nan,nan,0,0,0.18,0.18,0,0
nan,nan,0,0,0.181,0.181,0,0
nan,nan,0,0,0.182,0.182,0,0
nan,nan,0,0,0.183,0.183,0,0
nan,nan,0,0,0.184,0.184,0,0
nan,nan,0,0,0.185,0.185,0,0
nan,nan,0,0,0.186,0.186,0,0
nan,nan,0,0,0.187,0.187,0,0
nan,nan,0,0,0.188,0.188,0,0
nan,nan,0,0,0.189,0.189,0,0
nan,nan,0,0,0.19,0.19,0,0
nan,nan,0,0,0.191,0.191,0,0
nan,nan,0,0,0.192,0.192,0,0
nan,nan,0,0,0.193,0.193,0,0
nan,nan,0,0,0.194,0.194,0,0
nan,nan,0,0,0.195,0.195,0,0
nan,nan,0,0,0.196,0.196,0,0
nan,nan,0,0,0.197,0.197,0,0
nan,nan,0,0,0.198,0.198,0,0
nan,nan,0,0,0.199,0.199,0,0
nan,nan,0,0,0.2,0.2,0,0
nan,nan,0,0,0.201,0.201,0,0
nan,nan,0,0,0.202,0.202,0,0
nan,nan,0,0,0.203,0.203,0,0
nan,nan,0,0,0.204,0.204,0,0
nan,nan,0,0,0.205,0.205,0,0
nan,nan,0,0,0.206,0.206,0,0
nan,nan,0,0,0.207,0.207,0,0
nan,nan,0,0,0.208,0.208,0,0
nan,nan,0,0,0.209,0.209,0,0
nan,nan,0,0,0.21,0.21,0,0
nan,nan,0,0,0.211,0.211,0,0
nan,nan,0,0,0.212,0.212,0,0
nan,nan,0,0,0.213,0.213,0,0
nan,nan,0,0,0.214,0.214,0,0
nan,nan,0,0,0.215,0.215,0,0
nan,nan,0,0,0.216,0.216,0,0
nan,nan,0,0,0.217,0.217,0,0
nan,nan,0,0,0.218,0.218,0,0
nan,nan,0,0,0.219,0.219,0,0
nan,nan,0,0,0.22,0.22,0,0
nan,nan,0,0,0.221,0.221,0,0
nan,nan,0,0,0.222,0.222,0,0
nan,nan,0,0,0.223,0.223,0,0
nan,nan,0,0,0.224,0.224,0,0
nan,nan,0,0,0.225,0.225,0,0
nan,nan,0,0,0.226,0.226,0,0
nan,nan,0,0,0.227,0.227,0,0
nan,nan,0,0,0.228,0.228,0,0
nan,nan,0,0,0.229,0.229,0,0
nan,nan,0,0,0.23,0.23,0,0
nan,nan,0,0,0.231,0.231,0,0
nan,nan,0,0,0.232,0.232,0,0
nan,nan,0,0,0.233,0.233,0,0
nan,nan,0,0,0.234,0.234,0,0
nan,nan,0,0,0.235,0.235,0,0
nan,nan,0,0,0.236,0.236,0,0
nan,nan,0,0,0.237,0.237,0,0
nan,nan,0,0,0.238,0.238,0,0
nan,nan,0,0,0.239,0.239,0,0
nan,nan,0,0,0.24,0.24,0,0
nan,nan,0,0,0.241,0.241,0,0
nan,nan,0,0,0.242,0.242,0,0
nan,nan,0,0,0.243,0.243,0,0
nan,nan,0,0,0.244,0.244,0,0
nan,nan,0,0,0.245,0.245,0,0
nan,nan,0,0,0.246,0.246,0,0
nan,nan,0,0,0.247,0.247,0,0
nan,nan,0,0,0.248,0.248,0,0
nan,nan,0,0,0.249,0.249,0,0
nan,nan,0,0,0.25,0.25,0,0
nan,nan,0,0,0.251,0.251,0,0
nan,nan,0,0,0.252,0.252,0,0
nan,nan,0,0,0.253,0.253,0,0
nan,nan,0,0,0.254,0.254,0,0
nan,nan,0,0,0.255,0.255,0,0
nan,nan,0,0,0.256,0.256,0,0
nan,nan,0,0,0.257,0.257,0,0
nan,nan,0,0,0.258,0.258,0,0
nan,nan,0,0,0.259,0.259,0,0
nan,nan,0,0,0.26,0.26,0,0
nan,nan,0,0,0.261,0.261,0,0
nan,nan,0,0,0.262,0.262,0,0
nan,nan,0,0,0.263,0.263,0,0
nan,nan,0,0,0.264,0.264,0,0
nan,nan,0,0,0.265,0.265,0,0
nan,nan,0,0,0.266,0.266,0,0
nan,nan,0,0,0.267,0.267,0,0
nan,nan,0,0,0.268,0.268,0,0
nan,nan,0,0,0.269,0.269,0,0
nan,nan,0,0,0.27,0.27,0,0
nan,nan,0,0,0.271,0.271,0,0
nan,nan,0,0,0.272,0.272,0,0
nan,nan,0,0,0.273,0.273,0,0
nan,nan,0,0,0.274,0.274,0,0
nan,nan,0,0,0.275,0.275,0,0
nan,nan,0,0,0.276,0.276,0,0
nan,nan,0,0,0.277,0.277,0,0
nan,nan,0,0,0.278,0.278,0,0
nan,nan,0,0,0.279,0.279,0,0
nan,nan,0,0,0.28,0.28,0,0
nan,nan,0,0,0.281,0.281,0,0
nan,nan,0,0,0.282,0.282,0,0
nan,nan,0,0,0.283,0.283,0,0
nan,nan,0,0,0.284,0.284,0,0
nan,nan,0,0,0.285,0.285,0,0
nan,nan,0,0,0.286,0.286,0,0
nan,nan,0,0,0.287,0.287,0,0
nan,nan,0,0,0.288,0.288,0,0
nan,nan,0,0,0.289,0.289,0,0
nan,nan,0,0,0.29,0.29,0,0
nan,nan,0,0,0.291,0.291,0,0
nan,nan,0,0,0.292,0.292,0,0
nan,nan,0,0,0.293,0.293,0,0
nan,nan,0,0,0.294,0.294,0,0
nan,nan,0,0,0.295,0.295,0,0
nan,nan,0,0,0.296,0.296,0,0
nan,nan,0,0,0.297,0.297,0,0
nan,nan,0,0,0.298,0.298,0,0
nan,nan,0,0,0.299,0.299,0,0
nan,nan,0,0,0.3,0.3,0,0
nan,nan,0,0,0.301,0.301,0,0
nan,nan,0,0,0.302,0.302,0,0
nan,nan,0,0,0.303,0.303,0,0
nan,nan,0,0,0.304,0.304,0,0
nan,nan,0,0,0.305,0.305,0,0
nan,nan,0,0,0.306,0.306,0,0
nan,nan,0,0,0.307,0.307,0,0
nan,nan,0,0,0.308,0.308,0,0
nan,nan,0,0,0.309,0.309,0,0
nan,nan,0,0,0.31,0.31,0,0
nan,nan,0,0,0.311,0.311,0,0
nan,nan,0,0,0.312,0.312,0,0
nan,nan,0,0,0.313,0.313,0,0
nan,nan,0,0,0.314,0.314,0,0
nan,nan,0,0,0.315,0.315,0,0
nan,nan,0,0,0.316,0.316,0,0
nan,nan,0,0,0.317,0.317,0,0
nan,nan,0,0,0.318,0.318,0,0
nan,nan,0,0,0.319,0.319,0,0
nan,nan,0,0,0.32,0.32,0,0
nan,nan,0,0,0.321,0.321,0,0
nan,nan,0,0,0.322,0.322,0,0
nan,nan,0,0,0.323,0.323,0,0
nan,nan,0,0,0.324,0.324,0,0
nan,nan,0,0,0.325,0.325,0,0
nan,nan,0,0,0.326,0.326,0,0
nan,nan,0,0,0.327,0.327,0,0
nan,nan,0,0,0.328,0.328,0,0
nan,nan,0,0,0.329,0.329,0,0
nan,nan,0,0,0.33,0.33,0,0
nan,nan,0,0,0.331,0.331,0,0
nan,nan,0,0,0.332,0.332,0,0
nan,nan,0,0,0.333,0.333,0,0
nan,nan,0,0,0.334,0.334,0,0
nan,nan,0,0,0.335,0.335,0,0
nan,nan,0,0,0.336,0.336,0,0
nan,nan,0,0,0.337,0.337,0,0
nan,nan,0,0,0.338,0.338,0,0
nan,nan,0,0,0.339,0.339,0,0
nan,nan,0,0,0.34,0.34,0,0
nan,nan,0,0,0.341,0.341,0,0
nan,nan,0,0,0.342,0.342,0,0
nan,nan,0,0,0.343,0.343,0,0
nan,nan,0,0,0.344,0.344,0,0
nan,nan,0,0,0.345,0.345,0,0
nan,nan,0,0,0.346,0.346,0,0
nan,nan,0,0,0.347,0.347,0,0
nan,nan,0,0,0.348,0.348,0,0
nan,nan,0,0,0.349,0.349,0,0
nan,nan,0,0,0.35,0.35,0,0
nan,nan,0,0,0.351,0.351,0,0
nan,nan,0,0,0.352,0.352,0,0
nan,nan,0,0,0.353,0.353,0,0
nan,nan,0,0,0.354,0.354,0,0
nan,nan,0,0,0.355,0.355,0,0
nan,nan,0,0,0.356,0.356,0,0
nan,nan,0,0,0.357,0.357,0,0
nan,nan,0,0,0.358,0.358,0,0
nan,nan,0,0,0.359,0.359,0,0
nan,nan,0,0,0.36,0.36,0,0
nan,nan,0,0,0.361,0.361,0,0
nan,nan,0,0,0.362,0.362,0,0
nan,nan,0,0,0.363,0.363,0,0
nan,nan,0,0,0.364,0.364,0,0
nan,nan,0,0,0.365,0.365,0,0
nan,nan,0,0,0.366,0.366,0,0
nan,nan,0,0,0.367,0.367,0,0
nan,nan,0,0,0.368,0.368,0,0
nan,nan,0,0,0.369,0.369,0,0
nan,nan,0,0,0.37,0.37,0,0
nan,nan,0,0,0.371,0.371,0,0
nan,nan,0,0,0.372,0.372,0,0
nan,nan,0,0,0.373,0.373,0,0
nan,nan,0,0,0.374,0.374,0,0
nan,nan,0,0,0.375,0.375,0,0
nan,nan,0,0,0.376,0.376,0,0
nan,nan,0,0,0.377,0.377,0,0
nan,nan,0,0,0.378,0.378,0,0
nan,nan,0,0,0.379,0.379,0,0
nan,nan,0,0,0.38,0.38,0,0
nan,nan,0,0,0.381,0.381,0,0
nan,nan,0,0,0.382,0.382,0,0
nan,nan,0,0,0.383,0.383,0,0
nan,nan,0,0,0.384,0.384,0,0
nan,nan,0,0,0.385,0.385,0,0
nan,nan,0,0,0.386,0.386,0,0
nan,nan,0,0,0.387,0.387,0,0
nan,nan,0,0,0.388,0.388,0,0
nan,nan,0,0,0.389,0.389,0,0
nan,nan,0,0,0.39,0.39,0,0
nan,nan,0,0,0.391,0.391,0,0
nan,nan,0,0,0.392,0.392,0,0
nan,nan,0,0,0.393,0.393,0,0
nan,nan,0,0,0.394,0.394,0,0
nan,nan,0,0,0.395,0.395,0,0
nan,nan,0,0,0.396,0.396,0,0
nan,nan,0,0,0.397,0.397,0,0
nan,nan,0,0,0.398,0.398,0,0
nan,nan,0,0,0.399,0.399,0,0
1155.6,0.028456,1,1,0.4,0.4,0,0
1155.6,0.024534,1,1,0.401,0.401,0,0
1155.6,0.020612,1,1,0.402,0.402,0,0
1155.6,0.01669,1,1,0.403,0.403,0,0
1155.5,0.012768,1,1,0.404,0.404,0,0
1155.5,0.0088456,1,1,0.405,0.405,0,0
1155.5,0.0049235,1,1,0.406,0.406,0,0
1155.5,0.0010013,1,1,0.407,0.407,0,0
1155.4,-3.7633e-07,1,1,0.408,0.408,0,0
1155.4,-4.2008e-07,1,1,0.409,0.409,0,0
1155.3,-4.3129e-07,1,1,0.41,0.41,0,0
1155.2,-4.0879e-07,1,1,0.411,0.411,0,0
1155.2,-3.8628e-07,1,1,0.412,0.412,0,0
1155.1,-3.6378e-07,1,1,0.413,0.413,0,0
1155,-3.4127e-07,1,1,0.414,0.414,0,0
1154.9,-3.1877e-07,1,1,0.415,0.415,0,0
1154.9,-2.9626e-07,1,1,0.416,0.416,0,0
1154.8,-2.7252e-07,1,1,0.417,0.417,0,0
1154.7,-2.4493e-07,1,1,0.418,0.418,0,0
1154.6,-2.1735e-07,1,1,0.419,0.419,0,0
1154.5,-1.9098e-07,1,1,0.42,0.42,0,0
1154.3,-2.2266e-07,1,1,0.421,0.421,0,0
1154.2,-2.5435e-07,1,1,0.422,0.422,0,0
1154.1,-2.8604e-07,1,1,0.423,0.423,0,0
1153.9,-3.1772e-07,1,1,0.424,0.424,0,0
1153.8,-3.4941e-07,1,1,0.425,0.425,0,0
1153.7,-3.7948e-07,1,1,0.426,0.426,0,0
1153.5,-3.9413e-07,1,1,0.427,0.427,0,0
1153.4,-4.0878e-07,1,1,0.428,0.428,0,0
1153.2,-3.8785e-07,1,1,0.429,0.429,0,0
1153.1,-3.6244e-07,1,1,0.43,0.43,0,0
1152.9,-3.3703e-07,1,1,0.431,0.431,0,0
1152.7,-3.1162e-07,1,1,0.432,0.432,0,0
1152.5,-2.8622e-07,1,1,0.433,0.433,0,0
1152.4,-2.6081e-07,1,1,0.434,0.434,0,0
1152.2,-2.4272e-07,1,1,0.435,0.435,0,0
1152,-2.1258e-07,1,1,0.436,0.436,0,0
1151.8,-1.8098e-07,1,1,0.437,0.437,0,0
1151.6,-1.4937e-07,1,1,0.438,0.438,0,0
1151.4,-1.1777e-07,1,1,0.439,0.439,0,0
1151.2,-8.6162e-08,1,1,0.44,0.44,0,0
1151,-5.462e-08,1,1,0.441,0.441,0,0
1150.7,-6.1345e-08,1,1,0.442,0.442,0,0
1150.5,-6.5633e-08,1,1,0.443,0.443,0,0
1150.3,-4.9058e-08,1,1,0.444,0.444,0,0
1150,-3.2482e-08,1,1,0.445,0.445,0,0
1149.8,-1.5906e-08,1,1,0.446,0.446,0,0
1149.5,6.6895e-10,1,1,0.447,0.447,0,0
1149.3,1.7245e-08,1,1,0.448,0.448,0,0
1149,3.382e-08,1,1,0.449,0.449,0,0
1148.8,5.2821e-08,1,1,0.45,0.45,0,0
1148.5,8.2598e-08,1,1,0.451,0.451,0,0
1148.2,1.1237e-07,1,1,0.452,0.452,0,0
1148,1.3776e-07,1,1,0.453,0.453,0,0
1147.7,1.3894e-07,1,1,0.454,0.454,0,0
1147.4,1.4013e-07,1,1,0.455,0.455,0,0
1147.1,1.4132e-07,1,1,0.456,0.456,0,0
1146.8,1.4251e-07,1,1,0.457,0.457,0,0
1146.5,1.4369e-07,1,1,0.458,0.458,0,0
1146.2,1.4488e-07,1,1,0.459,0.459,0,0
1145.9,1.4607e-07,1,1,0.46,0.46,0,0
1145.6,1.4725e-07,1,1,0.461,0.461,0,0
1145.3,1.5339e-07,1,1,0.462,0.462,0,0
1144.9,1.6662e-07,1,1,0.463,0.463,0,0
1144.6,1.9458e-07,1,1,0.464,0.464,0,0
1144.3,2.2254e-07,1,1,0.465,0.465,0,0
1143.9,2.505e-07,1,1,0.466,0.466,0,0
1143.6,2.7846e-07,1,1,0.467,0.467,0,0
1143.2,3.0642e-07,1,1,0.468,0.468,0,0
1142.9,3.3438e-07,1,1,0.469,0.469,0,0
1142.5,3.6234e-07,1,1,0.47,0.47,0,0
1142.2,3.903e-07,1,1,0.471,0.471,0,0
1141.8,4.1827e-07,1,1,0.472,0.472,0,0
1141.5,4.3334e-07,1,1,0.473,0.473,0,0
1141.1,4.4377e-07,1,1,0.474,0.474,0,0
1140.7,4.542e-07,1,1,0.475,0.475,0,0
1140.3,4.6462e-07,1,1,0.476,0.476,0,0
1139.9,4.7505e-07,1,1,0.477,0.477,0,0
1139.5,4.8548e-07,1,1,0.478,0.478,0,0
1139.2,4.9529e-07,1,1,0.479,0.479,0,0
1138.8,4.8049e-07,1,1,0.48,0.48,0,0
1138.3,4.2242e-07,1,1,0.481,0.481,0,0
1137.9,3.6435e-07,1,1,0.482,0.482,0,0
1137.5,3.0628e-07,1,1,0.483,0.483,0,0
1137.1,2.4821e-07,1,1,0.484,0.484,0,0
1136.7,1.9013e-07,1,1,0.485,0.485,0,0
1136.3,3.1049e-07,1,1,0.486,0.486,0,0
1135.8,5.7999e-07,1,1,0.487,0.487,0,0
1135.4,8.4951e-07,1,1,0.488,0.488,0,0
1134.9,1.119e-06,1,1,0.489,0.489,0,0
1134.5,1.3885e-06,1,1,0.49,0.49,0,0
1134,1.658e-06,1,1,0.491,0.491,0,0
1133.6,1.9255e-06,1,1,0.492,0.492,0,0
1133.1,-2.0198,1,1,0.493,0.493,0,0
1132.7,-10.441,1,1,0.494,0.494,0,0
1132.2,-18.863,1,1,0.495,0.495,0,0
1131.7,-27.285,1,1,0.496,0.496,0,0
1131.2,-35.706,1,1,0.497,0.497,0,0
1130.8,-44.128,1,1,0.498,0.498,0,0
1130.3,-47.449,1,1,0.499,0.499,0,0
1129.8,-46.986,102,1,0.5,0.5,0,0
nan,nan,0,0,0.501,0.501,0,0
nan,nan,0,0,0.502,0.502,0,0
nan,nan,0,0,0.503,0.503,0,0
nan,nan,0,0,0.504,0.504,0,0
nan,nan,0,0,0.505,0.505,0,0
nan,nan,0,0,0.506,0.506,0,0
nan,nan,0,0,0.507,0.507,0,0
nan,nan,0,0,0.508,0.508,0,0
nan,nan,0,0,0.509,0.509,0,0
nan,nan,0,0,0.51,0.51,0,0
nan,nan,0,0,0.511,0.511,0,0
nan,nan,0,0,0.512,0.512,0,0
nan,nan,0,0,0.513,0.513,0,0
nan,nan,0,0,0.514,0.514,0,0
nan,nan,0,0,0.515,0.515,0,0
nan,nan,0,0,0.516,0.516,0,0
nan,nan,0,0,0.517,0.517,0,0
nan,nan,0,0,0.518,0.518,0,0
nan,nan,0,0,0.519,0.519,0,0
nan,nan,0,0,0.52,0.52,0,0
nan,nan,0,0,0.521,0.521,0,0
nan,nan,0,0,0.522,0.522,0,0
nan,nan,0,0,0.523,0.523,0,0
nan,nan,0,0,0.524,0.524,0,0
nan,nan,0,0,0.525,0.525,0,0
nan,nan,0,0,0.526,0.526,0,0
nan,nan,0,0,0.527,0.527,0,0
nan,nan,0,0,0.528,0.528,0,0
nan,nan,0,0,0.529,0.529,0,0
nan,nan,0,0,0.53,0.53,0,0
nan,nan,0,0,0.531,0.531,0,0
nan,nan,0,0,0.532,0.532,0,0
nan,nan,0,0,0.533,0.533,0,0
nan,nan,0,0,0.534,0.534,0,0
nan,nan,0,0,0.535,0.535,0,0
nan,nan,0,0,0.536,0.536,0,0
nan,nan,0,0,0.537,0.537,0,0
nan,nan,0,0,0.538,0.538,0,0
nan,nan,0,0,0.539,0.539,0,0
nan,nan,0,0,0.54,0.54,0,0
nan,nan,0,0,0.541,0.541,0,0
nan,nan,0,0,0.542,0.542,0,0
nan,nan,0,0,0.543,0.543,0,0
nan,nan,0,0,0.544,0.544,0,0
nan,nan,0,0,0.545,0.545,0,0
nan,nan,0,0,0.546,0.546,0,0
nan,nan,0,0,0.547,0.547,0,0
nan,nan,0,0,0.548,0.548,0,0
nan,nan,0,0,0.549,0.549,0,0
nan,nan,0,0,0.55,0.55,0,0
nan,nan,0,0,0.551,0.551,0,0
nan,nan,0,0,0.552,0.552,0,0
nan,nan,0,0,0.553,0.553,0,0
nan,nan,0,0,0.554,0.554,0,0
nan,nan,0,0,0.555,0.555,0,0
nan,nan,0,0,0.556,0.556,0,0
nan,nan,0,0,0.557,0.557,0,0
nan,nan,0,0,0.558,0.558,0,0
nan,nan,0,0,0.559,0.559,0,0
nan,nan,0,0,0.56,0.56,0,0
nan,nan,0,0,0.561,0.561,0,0
nan,nan,0,0,0.562,0.562,0,0
nan,nan,0,0,0.563,0.563,0,0
nan,nan,0,0,0.564,0.564,0,0
nan,nan,0,0,0.565,0.565,0,0
nan,nan,0,0,0.566,0.566,0,0
nan,nan,0,0,0.567,0.567,0,0
nan,nan,0,0,0.568,0.568,0,0
nan,nan,0,0,0.569,0.569,0,0
nan,nan,0,0,0.57,0.57,0,0
nan,nan,0,0,0.571,0.571,0,0
nan,nan,0,0,0.572,0.572,0,0
nan,nan,0,0,0.573,0.573,0,0
nan,nan,0,0,0.574,0.574,0,0
nan,nan,0,0,0.575,0.575,0,0
nan,nan,0,0,0.576,0.576,0,0
nan,nan,0,0,0.577,0.577,0,0
nan,nan,0,0,0.578,0.578,0,0
nan,nan,0,0,0.579,0.579,0,0
nan,nan,0,0,0.58,0.58,0,0
nan,nan,0,0,0.581,0.581,0,0
nan,nan,0,0,0.582,0.582,0,0
nan,nan,0,0,0.583,0.583,0,0
nan,nan,0,0,0.584,0.584,0,0
nan,nan,0,0,0.585,0.585,0,0
nan,nan,0,0,0.586,0.586,0,0
nan,nan,0,0,0.587,0.587,0,0
nan,nan,0,0,0.588,0.588,0,0
nan,nan,0,0,0.589,0.589,0,0
nan,nan,0,0,0.59,0.59,0,0
nan,nan,0,0,0.591,0.591,0,0
nan,nan,0,0,0.592,0.592,0,0
nan,nan,0,0,0.593,0.593,0,0
nan,nan,0,0,0.594,0.594,0,0
nan,nan,0,0,0.595,0.595,0,0
nan,nan,0,0,0.596,0.596,0,0
nan,nan,0,0,0.597,0.597,0,0
nan,nan,0,0,0.598,0.598,0,0
nan,nan,0,0,0.599,0.599,0,0
nan,nan,0,0,0.6,0.6,0,0
